timestamp_log,ip_origen,metodo_http,codigo_estado,bytes_enviados,tiempo_respuesta_ms,tipo_dispositivo,alerta_anomalia
2026-01-01 00:00:00,192.168.227.35,GET,200,7048.0,6.6,Desktop,0
2026-01-01 00:00:10,192.168.74.252,GET,200,3422.0,7.2,Desktop,0
2026-01-01 00:00:20,192.168.248.47,GET,200,2735.0,90.9,Mobile,0
2026-01-01 00:00:30,192.168.77.239,POST,200,2368.0,81.0,Desktop,0
2026-01-01 00:00:40,192.168.155.110,GET,200,456.0,41.5,Mobile,0
2026-01-01 00:00:50,192.168.83.226,GET,200,46235.0,114.2,Desktop,0
2026-01-01 00:01:00,192.168.248.167,GET,400,42108.0,32.6,Mobile,0
2026-01-01 00:01:10,192.168.108.92,GET,200,279.0,162.0,Desktop,0
2026-01-01 00:01:20,192.168.96.28,POST,200,10907.0,303.9,Mobile,0
2026-01-01 00:01:30,192.168.20.22,GET,200,5339.0,54.6,Mobile,0
2026-01-01 00:01:40,192.168.154.184,GET,400,42235.0,162.9,Mobile,0
2026-01-01 00:01:50,192.168.152.130,GET,301,44514.0,74.6,Desktop,0
2026-01-01 00:02:00,192.168.67.144,GET,200,2501.0,68.0,Desktop,0
2026-01-01 00:02:10,192.168.40.155,POST,200,28445.0,327.3,Mobile,0
2026-01-01 00:02:20,192.168.208.125,GET,200,14085.0,78.5,Tablet,0
2026-01-01 00:02:30,192.168.73.32,POST,200,7613.0,258.2,Mobile,0
2026-01-01 00:02:40,192.168.147.146,GET,200,16455.0,15.5,Mobile,0
2026-01-01 00:02:50,192.168.85.3,GET,400,59434.0,26.7,Desktop,0
2026-01-01 00:03:00,192.168.88.189,POST,200,21428.0,303.6,Mobile,0
2026-01-01 00:03:10,192.168.246.126,GET,200,5931.0,341.0,Bot,1
2026-01-01 00:03:20,192.168.250.156,GET,200,27360.0,262.6,Mobile,0
2026-01-01 00:03:30,192.168.149.4,POST,200,31445.0,258.6,Desktop,0
2026-01-01 00:03:40,192.168.239.193,GET,200,8034.0,13.5,Desktop,0
2026-01-01 00:03:50,192.168.219.18,GET,200,33149.0,173.5,Mobile,0
2026-01-01 00:04:00,192.168.37.84,GET,200,1733.0,5.0,Mobile,0
2026-01-01 00:04:10,192.168.30.240,GET,200,3096.0,8.7,Mobile,0
2026-01-01 00:04:20,192.168.226.69,GET,200,3054.0,179.3,Mobile,0
2026-01-01 00:04:30,192.168.180.209,GET,400,6519.0,16.0,Mobile,0
2026-01-01 00:04:40,192.168.192.84,GET,200,75900.0,139.2,Desktop,0
2026-01-01 00:04:50,192.168.38.145,GET,200,11755.0,156.6,Desktop,0
2026-01-01 00:05:00,192.168.140.159,PUT,200,16826.0,81.6,Tablet,0
2026-01-01 00:05:10,192.168.84.11,PUT,200,5496.0,38.5,Mobile,0
2026-01-01 00:05:20,192.168.95.24,POST,200,34207.0,144.3,Desktop,0
2026-01-01 00:05:30,192.168.114.121,GET,200,46881.0,322.3,Desktop,0
2026-01-01 00:05:40,192.168.26.182,GET,200,20026.0,38.7,Desktop,0
2026-01-01 00:05:50,192.168.232.143,POST,200,32884.0,193.7,Mobile,0
2026-01-01 00:06:00,192.168.139.156,GET,301,21189.0,13.5,Desktop,0
2026-01-01 00:06:10,192.168.41.62,PUT,200,39139.0,38.2,Desktop,0
2026-01-01 00:06:20,192.168.35.171,POST,200,1782.0,26.5,Mobile,0
2026-01-01 00:06:30,192.168.41.230,GET,200,44235.0,272.2,Mobile,0
2026-01-01 00:06:40,192.168.204.184,GET,200,6037.0,74.2,Mobile,0
2026-01-01 00:06:50,192.168.119.127,GET,200,2950.0,5.0,Mobile,0
2026-01-01 00:07:00,192.168.161.182,GET,200,38704.0,9.8,Desktop,0
2026-01-01 00:07:10,192.168.144.77,POST,200,5911.0,22.4,Desktop,0
2026-01-01 00:07:20,192.168.51.149,GET,200,1945.0,38.0,Desktop,0
2026-01-01 00:07:30,192.168.112.146,GET,200,14828.0,69.0,Mobile,0
2026-01-01 00:07:40,192.168.142.19,GET,301,17208.0,10.2,Mobile,0
2026-01-01 00:07:50,192.168.72.222,GET,200,9882.0,39.0,Mobile,0
2026-01-01 00:08:00,192.168.118.140,GET,200,1655.0,12.8,Mobile,0
2026-01-01 00:08:10,192.168.203.69,POST,400,26880.0,330.9,Mobile,0
2026-01-01 00:08:20,192.168.240.92,GET,200,11731.0,18.2,Mobile,0
2026-01-01 00:08:30,192.168.192.51,GET,200,15368.0,18.7,Mobile,0
2026-01-01 00:08:40,192.168.166.201,GET,301,200.0,20.1,Desktop,0
2026-01-01 00:08:50,192.168.162.69,POST,200,16939.0,36.8,Mobile,0
2026-01-01 00:09:00,192.168.75.24,GET,301,8189.0,71.8,Desktop,0
2026-01-01 00:09:10,192.168.214.181,GET,400,2901.0,35.2,Tablet,0
2026-01-01 00:09:20,192.168.144.168,GET,500,1608.0,12.8,Mobile,0
2026-01-01 00:09:30,192.168.194.213,GET,404,6277.0,75.3,Desktop,0
2026-01-01 00:09:40,192.168.193.90,GET,200,14013.0,34.9,Desktop,0
2026-01-01 00:09:50,192.168.73.168,PUT,200,4491.0,219.8,Mobile,0
2026-01-01 00:10:00,192.168.180.254,GET,200,200.0,255.8,Mobile,0
2026-01-01 00:10:10,192.168.49.45,GET,200,8400.0,18.6,Mobile,0
2026-01-01 00:10:20,192.168.109.114,PUT,200,3609.0,5.0,Desktop,0
2026-01-01 00:10:30,192.168.128.148,GET,200,6111.0,123.6,Desktop,0
2026-01-01 00:10:40,192.168.199.159,GET,200,1642.0,32.0,Mobile,0
2026-01-01 00:10:50,192.168.167.9,GET,200,1336.0,126.2,Desktop,0
2026-01-01 00:11:00,192.168.141.197,PUT,200,2042.0,171.5,Mobile,0
2026-01-01 00:11:10,192.168.219.147,GET,200,12889.0,105.5,Mobile,0
2026-01-01 00:11:20,192.168.234.42,GET,200,2098.0,182.2,Desktop,0
2026-01-01 00:11:30,192.168.15.83,GET,200,636.0,68.5,Mobile,0
2026-01-01 00:11:40,192.168.93.180,POST,200,15308.0,74.6,Desktop,0
2026-01-01 00:11:50,192.168.156.206,GET,200,2345.0,23.4,Desktop,0
2026-01-01 00:12:00,192.168.178.242,POST,200,855.0,174.7,Desktop,0
2026-01-01 00:12:10,192.168.78.15,GET,200,24794.0,46.9,Mobile,0
2026-01-01 00:12:20,192.168.19.208,POST,404,7105.0,329.7,Desktop,0
2026-01-01 00:12:30,192.168.163.36,GET,200,13713.0,205.0,Mobile,0
2026-01-01 00:12:40,192.168.161.39,GET,404,2105.0,87.4,Desktop,0
2026-01-01 00:12:50,192.168.165.177,GET,200,7399.0,5.0,Desktop,0
2026-01-01 00:13:00,192.168.181.84,POST,200,8647.0,172.6,Desktop,0
2026-01-01 00:13:10,192.168.152.39,DELETE,404,26711.0,30.1,Mobile,0
2026-01-01 00:13:20,192.168.25.162,GET,200,13248.0,69.8,Mobile,0
2026-01-01 00:13:30,192.168.138.60,POST,200,110803.0,432.6,Mobile,0
2026-01-01 00:13:40,192.168.64.88,GET,200,3442.0,147.3,Mobile,0
2026-01-01 00:13:50,192.168.56.124,POST,200,507.0,325.6,Mobile,0
2026-01-01 00:14:00,192.168.17.42,POST,400,14236.0,266.5,Mobile,0
2026-01-01 00:14:10,192.168.170.118,GET,200,8990.0,180.8,Mobile,0
2026-01-01 00:14:20,192.168.105.47,POST,200,31405.0,30.4,Desktop,0
2026-01-01 00:14:30,192.168.78.80,GET,404,24232.0,195.0,Desktop,0
2026-01-01 00:14:40,192.168.90.169,GET,200,24286.0,11.8,Mobile,0
2026-01-01 00:14:50,192.168.159.65,GET,404,14900.0,8.8,Mobile,0
2026-01-01 00:15:00,192.168.116.199,POST,200,11692.0,73.2,Desktop,0
2026-01-01 00:15:10,192.168.159.27,GET,301,4547.0,510.3,Mobile,0
2026-01-01 00:15:20,192.168.4.120,GET,200,2376.0,72.1,Desktop,0
2026-01-01 00:15:30,192.168.25.105,PUT,200,7103.0,40.6,Desktop,0
2026-01-01 00:15:40,192.168.158.194,GET,200,6203.0,22.6,Desktop,0
2026-01-01 00:15:50,192.168.175.82,GET,200,4923.0,25.4,Mobile,0
2026-01-01 00:16:00,192.168.39.244,GET,200,60026.0,400.0,Desktop,0
2026-01-01 00:16:10,192.168.56.108,PUT,301,2843.0,96.7,Mobile,0
2026-01-01 00:16:20,192.168.216.187,POST,404,231.0,40.6,Desktop,0
2026-01-01 00:16:30,192.168.221.123,POST,200,987.0,58.6,Mobile,0
2026-01-01 00:16:40,192.168.169.208,POST,200,19730.0,199.9,Desktop,0
2026-01-01 00:16:50,192.168.159.220,GET,200,5635.0,37.9,Mobile,0
2026-01-01 00:17:00,192.168.236.235,GET,200,21792.0,177.3,Mobile,0
2026-01-01 00:17:10,192.168.35.114,POST,400,52529.0,49.0,Desktop,0
2026-01-01 00:17:20,192.168.80.215,GET,200,5024.0,92.6,Mobile,0
2026-01-01 00:17:30,192.168.78.51,GET,200,3911.0,225.2,Tablet,0
2026-01-01 00:17:40,192.168.33.106,POST,200,7735.0,54.9,Tablet,0
2026-01-01 00:17:50,192.168.126.247,GET,200,1007.0,40.8,Mobile,0
2026-01-01 00:18:00,192.168.186.74,POST,200,19622.0,52.7,Desktop,0
2026-01-01 00:18:10,192.168.203.69,GET,200,3684.0,242.2,Bot,1
2026-01-01 00:18:20,192.168.21.220,GET,200,16288.0,195.2,Mobile,0
2026-01-01 00:18:30,192.168.246.196,GET,200,8516.0,5.0,Desktop,0
2026-01-01 00:18:40,192.168.136.232,GET,301,9743.0,17.3,Desktop,0
2026-01-01 00:18:50,192.168.180.30,POST,200,33392.0,488.4,Desktop,0
2026-01-01 00:19:00,192.168.161.173,GET,200,6071.0,56.8,Mobile,0
2026-01-01 00:19:10,192.168.232.54,GET,200,1005.0,24.1,Tablet,0
2026-01-01 00:19:20,192.168.244.107,GET,200,9875.0,53.3,Mobile,0
2026-01-01 00:19:30,192.168.32.99,GET,200,22760.0,342.1,Desktop,0
2026-01-01 00:19:40,192.168.33.37,POST,200,14205.0,183.7,Mobile,0
2026-01-01 00:19:50,192.168.82.170,GET,200,11279.0,5.0,Desktop,0
